Id_Compra;Fecha;Id_Cliente;Id_Vehiculo;Costo Vehículo;IGV;id_Vendedor
1318;2017-06-09;967;144;17190.175;0.18;8
8914;2017-06-08;453;73;17036.0651;0.18;10
2523;2017-06-07;942;157;18057.8296;0.18;12
15808;2017-06-06;1001;143;17615.8517;0.18;3
9372;2017-03-27;242;140;17251.5879;0.18;10
10842;2017-03-26;1081;136;17564.6927;0.18;3
5702;2017-03-25;482;69;17785.2776;0.18;4
12831;2017-03-24;1027;152;16594.1316;0.18;9
4293;2017-02-03;242;14;16785.0514;0.18;7
11729;2017-02-03;1047;9;17021.548;0.18;2
1938;2017-02-03;813;3;16966.2701;0.18;10
5920;2017-02-03;392;13;17250.3325;0.18;7
17521;2017-02-02;492;25;17496.8069;0.18;3
13292;2017-02-02;928;48;17018.6602;0.18;11
17600;2017-02-02;401;112;17400.1259;0.18;9
12982;2017-02-02;200;112;17400.1259;0.18;8
1020;2017-01-30;507;59;18055.7447;0.18;1
7993;2017-01-30;57;39;17190.856;0.18;1
9847;2017-01-30;677;168;17486.2304;0.18;2
17231;2017-01-30;235;146;17014.9952;0.18;3
4060;2016-10-04;792;119;17266.89;0.18;10
12942;2016-10-04;750;93;16751.329;0.18;8
11003;2016-10-04;405;146;17014.9952;0.18;10
2478;2016-07-29;911;143;17615.8517;0.18;10
11188;2016-07-29;328;64;17115.1125;0.18;3
3527;2016-07-29;976;164;16713.9247;0.18;5
17824;2016-07-29;120;41;17558.8369;0.18;5
12011;2016-07-21;451;168;17486.2304;0.18;9
2076;2016-07-21;166;61;17536.8308;0.18;10
4679;2016-07-21;994;140;17251.5879;0.18;10
8368;2016-07-21;1014;14;16785.0514;0.18;11
5922;2016-07-02;143;167;18199.8904;0.18;4
11019;2016-07-02;879;5;17132.9538;0.18;10
17770;2016-07-02;394;138;17348.4811;0.18;7
3313;2016-07-02;877;54;17780.12;0.18;12
13572;2016-06-28;1089;15;17195.1571;0.18;11
11514;2016-06-28;52;140;17251.5879;0.18;2
11985;2016-06-28;775;121;17060.5781;0.18;10
15370;2016-06-28;98;41;17558.8369;0.18;4
1655;2016-06-13;920;92;17448.8832;0.18;8
3282;2016-06-13;482;18;17472.3209;0.18;8
1168;2016-06-13;955;139;17052.093;0.18;4
12259;2016-06-13;440;138;17348.4811;0.18;8
9957;2016-05-03;719;8;18283.6954;0.18;6
12006;2016-05-03;943;34;17408.408;0.18;10
11430;2016-05-03;181;25;17496.8069;0.18;2
17556;2016-05-03;46;2;16713.2222;0.18;4
3212;2016-04-29;256;139;17052.093;0.18;8
15948;2016-04-29;389;59;18055.7447;0.18;11
8775;2016-04-29;529;124;17481.4583;0.18;10
14911;2016-04-29;825;67;17674.0933;0.18;1
15922;2016-04-28;1013;172;17640.3286;0.18;9
13958;2016-04-28;95;112;17400.1259;0.18;1
11504;2016-04-28;343;124;17481.4583;0.18;3
13771;2016-04-28;633;51;17423.0083;0.18;9
17211;2016-04-24;246;38;18084.4457;0.18;5
19025;2016-04-24;456;76;17616.371;0.18;10
11025;2016-04-24;557;143;17615.8517;0.18;4
2131;2016-04-24;368;97;17455.3364;0.18;7
6182;2016-03-03;1166;68;17204.4696;0.18;12
9647;2016-03-03;707;134;17904.3146;0.18;10
13613;2016-03-03;807;83;17259;0.18;1
14509;2016-03-03;539;175;17766.5556;0.18;2
9391;2016-03-02;240;175;17766.5556;0.18;2
9379;2016-03-02;199;45;17403.9439;0.18;11
10158;2016-03-02;539;46;16640.1123;0.18;9
12784;2016-03-02;886;141;18733.9543;0.18;5
8869;2016-02-17;308;127;17831.8761;0.18;12
18335;2016-02-17;872;21;17975.7649;0.18;11
3063;2016-02-17;1096;149;17525.4202;0.18;10
12204;2016-02-17;450;124;17481.4583;0.18;8
13863;2016-02-08;58;158;17344.6449;0.18;12
2743;2016-02-08;792;50;16277.7973;0.18;3
10677;2016-02-08;735;56;17321.6625;0.18;6
19763;2016-02-08;527;171;16709.9392;0.18;7
530;2016-01-23;389;106;17558.5944;0.18;9
12255;2016-01-23;1147;50;16277.7973;0.18;6
15391;2016-01-23;153;40;16916.2522;0.18;4
4898;2016-01-23;873;20;17542.8297;0.18;2
11399;2015-12-10;298;110;17185.4921;0.18;5
2938;2015-12-10;357;162;18489.8026;0.18;10
1514;2015-12-10;875;157;18057.8296;0.18;5
15122;2015-12-10;1069;14;16785.0514;0.18;12
13749;2015-12-05;1078;127;17831.8761;0.18;8
12448;2015-12-05;85;147;17281.0986;0.18;12
3410;2015-12-05;502;23;17002.5247;0.18;7
14965;2015-12-05;1149;113;17948.6684;0.18;6
9535;2015-12-04;295;63;17379.3034;0.18;5
8642;2015-12-04;728;40;16916.2522;0.18;4
3546;2015-12-04;134;59;18055.7447;0.18;5
15120;2015-12-04;356;64;17115.1125;0.18;2
7785;2015-11-19;399;54;17780.12;0.18;6
3895;2015-11-19;710;59;18055.7447;0.18;3
16519;2015-11-19;1102;22;17918.5433;0.18;11
4110;2015-11-19;283;92;17448.8832;0.18;4
11965;2015-11-10;385;44;17856.9977;0.18;2
5487;2015-11-10;534;120;17585.6071;0.18;12
8854;2015-11-10;739;80;17378.0475;0.18;7
6815;2015-11-10;41;17;18067.7118;0.18;10
9570;2015-10-29;264;141;18733.9543;0.18;10
14467;2015-10-29;700;172;17640.3286;0.18;7
19045;2015-10-29;713;31;16480.0186;0.18;8
6478;2015-10-29;268;154;17280.4071;0.18;10
16722;2015-10-15;1018;53;16746.6324;0.18;7
4101;2015-10-15;748;105;18157.1783;0.18;5
19459;2015-10-15;546;141;18733.9543;0.18;5
3730;2015-10-15;265;63;17379.3034;0.18;5
19064;2015-10-09;861;52;17750.2457;0.18;2
8486;2015-10-09;1144;124;17481.4583;0.18;4
10808;2015-10-09;171;78;17115.384;0.18;12
14469;2015-10-09;561;17;18067.7118;0.18;3
6729;2015-08-17;1093;12;17374.121;0.18;1
6177;2015-08-17;963;102;17736.3395;0.18;2
19495;2015-08-17;855;15;17195.1571;0.18;1
14995;2015-08-17;890;101;17492.7954;0.18;9
6043;2015-07-19;872;151;17111.3824;0.18;7
6239;2015-07-19;715;107;17260.4854;0.18;7
8074;2015-07-19;4;99;17414.9711;0.18;6
15018;2015-07-19;385;93;16751.329;0.18;5
18456;2015-06-29;187;96;17142.037;0.18;12
17281;2015-06-29;726;169;17928.3266;0.18;2
7418;2015-06-29;45;132;17145.7891;0.18;10
4570;2015-06-29;660;129;17768.6268;0.18;11
17865;2015-06-20;826;58;17594.3922;0.18;7
17835;2015-06-20;442;1;16766.9526;0.18;11
1419;2015-06-20;812;110;17185.4921;0.18;5
12176;2015-06-05;695;159;17331.0141;0.18;10
13745;2015-06-05;517;157;18057.8296;0.18;4
16950;2015-06-05;686;70;17297.2324;0.18;8
10914;2015-06-05;635;177;16593.255;0.18;4
10598;2015-05-17;925;158;17344.6449;0.18;6
2412;2015-05-17;842;130;17890.893;0.18;4
17584;2015-05-17;1150;51;17423.0083;0.18;2
3626;2015-05-17;165;47;17249.4684;0.18;2
12753;2015-04-06;739;17;18067.7118;0.18;9
